"id","name","sort_order","color","slug"
"42e98675-19da-41ff-897a-98a258b58615","Charita",3,"#f0f263",NULL
"8723ee76-3900-4203-a74c-913da7656e99","Dovolena",1,"#f2649d",NULL
"906945ff-a1b1-456d-8dbe-1d56933c47f8","Provoz",4,"#63a1f2",NULL
"9e1e34da-17b2-4513-ac91-71f429960779","Bydleni",0,"#6366f1",NULL
"c54c48ee-ba1e-4582-a831-55065b6a9bce","Penize",2,"#67f264",NULL
"cd0a068e-be22-42fa-aac8-62485c75bbd0","Zdravi",6,"#9d63f2",NULL
"ece26a3f-d767-4e29-ba15-ea9f34c306e1","Spotreba",5,"#f29563",NULL
